runner gpu1 seed 2102 arms ['stablegla'] batch 16 steps 73243 (1.20B tokens/run)
/home/ubuntu/venv-s05/lib/python3.12/site-packages/torch/nn/functional.py:2954: UserWarning: Mismatch dtype between input and weight: input dtype = c10::BFloat16, weight dtype = float, Cannot dispatch to fused implementation. (Triggered internally at /pytorch/aten/src/ATen/native/layer_norm.cpp:344.)
  return torch.rms_norm(input, normalized_shape, weight, eps)
[stablegla_s2102_w256] step 0/73243 loss 10.5617 (0.0m)
  [stablegla_s2102_w256] probes@366: kv=0.000 needle=0.000
[stablegla_s2102_w256] step 732/73243 loss 5.0859 (12.3m)
  [stablegla_s2102_w256] probes@780: kv=0.008 needle=0.000
[stablegla_s2102_w256] step 1464/73243 loss 4.2731 (25.3m)
  [stablegla_s2102_w256] probes@1663: kv=0.031 needle=0.008
[stablegla_s2102_w256] step 2196/73243 loss 3.8487 (38.3m)
[stablegla_s2102_w256] step 2928/73243 loss 3.5765 (50.3m)
  [stablegla_s2102_w256] probes@3546: kv=0.469 needle=0.031
[stablegla_s2102_w256] step 3660/73243 loss 3.4194 (63.2m)
[stablegla_s2102_w256] step 4392/73243 loss 3.3400 (75.7m)
[stablegla_s2102_w256] step 5124/73243 loss 3.2749 (88.3m)
[stablegla_s2102_w256] step 5856/73243 loss 3.2252 (100.3m)
[stablegla_s2102_w256] step 6588/73243 loss 3.2005 (112.8m)
[stablegla_s2102_w256] step 7320/73243 loss 3.1486 (125.3m)
  [stablegla_s2102_w256] probes@7560: kv=1.000 needle=0.195
[stablegla_s2102_w256] step 8052/73243 loss 3.1197 (138.1m)
[stablegla_s2102_w256] step 8784/73243 loss 3.0918 (150.1m)
[stablegla_s2102_w256] step 9516/73243 loss 3.0782 (162.5m)
[stablegla_s2102_w256] step 10248/73243 loss 3.0667 (174.9m)
[stablegla_s2102_w256] step 10980/73243 loss 3.0346 (186.9m)
[stablegla_s2102_w256] step 11712/73243 loss 3.0037 (199.4m)
[stablegla_s2102_w256] step 12444/73243 loss 3.0259 (211.8m)
[stablegla_s2102_w256] step 13176/73243 loss 3.0052 (224.2m)
[stablegla_s2102_w256] step 13908/73243 loss 2.9918 (236.2m)
[stablegla_s2102_w256] step 14640/73243 loss 2.9631 (248.6m)
[stablegla_s2102_w256] step 15372/73243 loss 2.9686 (261.0m)
[stablegla_s2102_w256] step 16104/73243 loss 2.9650 (273.5m)
  [stablegla_s2102_w256] probes@16116: kv=1.000 needle=0.219
[stablegla_s2102_w256] step 16836/73243 loss 2.9504 (285.8m)
[stablegla_s2102_w256] step 17568/73243 loss 2.9006 (298.2m)
[stablegla_s2102_w256] step 18300/73243 loss 2.9155 (310.6m)
[stablegla_s2102_w256] step 19032/73243 loss 2.9038 (323.0m)
[stablegla_s2102_w256] step 19764/73243 loss 2.8973 (335.0m)
[stablegla_s2102_w256] step 20496/73243 loss 2.9098 (347.4m)
[stablegla_s2102_w256] step 21228/73243 loss 2.8931 (359.8m)
[stablegla_s2102_w256] step 21960/73243 loss 2.8980 (371.8m)
[stablegla_s2102_w256] step 22692/73243 loss 2.8484 (384.2m)
[stablegla_s2102_w256] step 23424/73243 loss 2.8628 (396.6m)
[stablegla_s2102_w256] step 24156/73243 loss 2.8542 (409.0m)
[stablegla_s2102_w256] step 24888/73243 loss 2.8437 (421.0m)
[stablegla_s2102_w256] step 25620/73243 loss 2.8324 (433.4m)
[stablegla_s2102_w256] step 26352/73243 loss 2.8195 (445.8m)
[stablegla_s2102_w256] step 27084/73243 loss 2.8368 (458.2m)
[stablegla_s2102_w256] step 27816/73243 loss 2.8189 (470.2m)
[stablegla_s2102_w256] step 28548/73243 loss 2.8132 (482.6m)
[stablegla_s2102_w256] step 29280/73243 loss 2.8274 (495.0m)
[stablegla_s2102_w256] step 30012/73243 loss 2.8277 (507.4m)
[stablegla_s2102_w256] step 30744/73243 loss 2.8081 (519.4m)
[stablegla_s2102_w256] step 31476/73243 loss 2.8269 (531.8m)
[stablegla_s2102_w256] step 32208/73243 loss 2.8099 (544.2m)
[stablegla_s2102_w256] step 32940/73243 loss 2.7799 (556.2m)
[stablegla_s2102_w256] step 33672/73243 loss 2.7999 (568.6m)
  [stablegla_s2102_w256] probes@34356: kv=1.000 needle=0.203
[stablegla_s2102_w256] step 34404/73243 loss 2.7726 (581.3m)
[stablegla_s2102_w256] step 35136/73243 loss 2.7860 (593.7m)
[stablegla_s2102_w256] step 35868/73243 loss 2.7862 (605.7m)
[stablegla_s2102_w256] step 36600/73243 loss 2.7543 (618.1m)
[stablegla_s2102_w256] step 37332/73243 loss 2.7597 (630.5m)
[stablegla_s2102_w256] step 38064/73243 loss 2.7509 (642.9m)
[stablegla_s2102_w256] step 38796/73243 loss 2.7485 (654.9m)
[stablegla_s2102_w256] step 39528/73243 loss 2.7363 (667.3m)
[stablegla_s2102_w256] step 40260/73243 loss 2.7350 (679.7m)
[stablegla_s2102_w256] step 40992/73243 loss 2.7213 (691.7m)
[stablegla_s2102_w256] step 41724/73243 loss 2.7328 (704.1m)
[stablegla_s2102_w256] step 42456/73243 loss 2.7120 (716.5m)
[stablegla_s2102_w256] step 43188/73243 loss 2.7111 (728.9m)
[stablegla_s2102_w256] step 43920/73243 loss 2.6923 (740.9m)
[stablegla_s2102_w256] step 44652/73243 loss 2.6979 (753.3m)
[stablegla_s2102_w256] step 45384/73243 loss 2.6879 (765.7m)
