runner gpu1 seed 2102 arms ['stablegla'] batch 16 steps 73243 (1.20B tokens/run)
/home/ubuntu/venv-s05/lib/python3.12/site-packages/torch/nn/functional.py:2954: UserWarning: Mismatch dtype between input and weight: input dtype = c10::BFloat16, weight dtype = float, Cannot dispatch to fused implementation. (Triggered internally at /pytorch/aten/src/ATen/native/layer_norm.cpp:344.)
  return torch.rms_norm(input, normalized_shape, weight, eps)
[stablegla_s2102_w1024] step 0/73243 loss 10.5714 (0.0m)
  [stablegla_s2102_w1024] probes@366: kv=0.000 needle=0.000
[stablegla_s2102_w1024] step 732/73243 loss 5.0854 (12.3m)
  [stablegla_s2102_w1024] probes@780: kv=0.008 needle=0.008
[stablegla_s2102_w1024] step 1464/73243 loss 4.2706 (25.3m)
  [stablegla_s2102_w1024] probes@1663: kv=0.039 needle=0.008
[stablegla_s2102_w1024] step 2196/73243 loss 3.8393 (38.2m)
[stablegla_s2102_w1024] step 2928/73243 loss 3.5567 (50.2m)
  [stablegla_s2102_w1024] probes@3546: kv=0.508 needle=0.914
[stablegla_s2102_w1024] step 3660/73243 loss 3.3976 (63.1m)
[stablegla_s2102_w1024] step 4392/73243 loss 3.3163 (75.7m)
[stablegla_s2102_w1024] step 5124/73243 loss 3.2551 (88.2m)
[stablegla_s2102_w1024] step 5856/73243 loss 3.2045 (100.2m)
[stablegla_s2102_w1024] step 6588/73243 loss 3.1794 (112.7m)
[stablegla_s2102_w1024] step 7320/73243 loss 3.1249 (125.2m)
  [stablegla_s2102_w1024] probes@7560: kv=1.000 needle=0.992
[stablegla_s2102_w1024] step 8052/73243 loss 3.0954 (138.0m)
[stablegla_s2102_w1024] step 8784/73243 loss 3.0691 (149.9m)
[stablegla_s2102_w1024] step 9516/73243 loss 3.0571 (162.4m)
[stablegla_s2102_w1024] step 10248/73243 loss 3.0437 (174.8m)
[stablegla_s2102_w1024] step 10980/73243 loss 3.0133 (186.8m)
[stablegla_s2102_w1024] step 11712/73243 loss 2.9798 (199.2m)
[stablegla_s2102_w1024] step 12444/73243 loss 3.0008 (211.6m)
[stablegla_s2102_w1024] step 13176/73243 loss 2.9844 (224.0m)
[stablegla_s2102_w1024] step 13908/73243 loss 2.9665 (236.0m)
[stablegla_s2102_w1024] step 14640/73243 loss 2.9403 (248.4m)
[stablegla_s2102_w1024] step 15372/73243 loss 2.9460 (260.8m)
[stablegla_s2102_w1024] step 16104/73243 loss 2.9429 (273.2m)
  [stablegla_s2102_w1024] probes@16116: kv=1.000 needle=1.000
[stablegla_s2102_w1024] step 16836/73243 loss 2.9272 (285.5m)
[stablegla_s2102_w1024] step 17568/73243 loss 2.8792 (297.9m)
[stablegla_s2102_w1024] step 18300/73243 loss 2.8930 (310.3m)
[stablegla_s2102_w1024] step 19032/73243 loss 2.8819 (322.7m)
