runner gpu0 seed 2102 arms ['stablegla'] batch 16 steps 73243 (1.20B tokens/run)
/home/ubuntu/venv-s05/lib/python3.12/site-packages/torch/nn/functional.py:2954: UserWarning: Mismatch dtype between input and weight: input dtype = c10::BFloat16, weight dtype = float, Cannot dispatch to fused implementation. (Triggered internally at /pytorch/aten/src/ATen/native/layer_norm.cpp:344.)
  return torch.rms_norm(input, normalized_shape, weight, eps)
[stablegla_s2102_w128] step 0/73243 loss 10.5545 (0.0m)
  [stablegla_s2102_w128] probes@366: kv=0.008 needle=0.000
[stablegla_s2102_w128] step 732/73243 loss 5.0944 (12.4m)
  [stablegla_s2102_w128] probes@780: kv=0.008 needle=0.000
[stablegla_s2102_w128] step 1464/73243 loss 4.2803 (25.4m)
  [stablegla_s2102_w128] probes@1663: kv=0.031 needle=0.008
[stablegla_s2102_w128] step 2196/73243 loss 3.8710 (38.5m)
[stablegla_s2102_w128] step 2928/73243 loss 3.6136 (50.5m)
  [stablegla_s2102_w128] probes@3546: kv=0.234 needle=0.023
[stablegla_s2102_w128] step 3660/73243 loss 3.4582 (63.5m)
[stablegla_s2102_w128] step 4392/73243 loss 3.3763 (76.1m)
[stablegla_s2102_w128] step 5124/73243 loss 3.3137 (88.7m)
[stablegla_s2102_w128] step 5856/73243 loss 3.2641 (100.7m)
[stablegla_s2102_w128] step 6588/73243 loss 3.2365 (113.2m)
[stablegla_s2102_w128] step 7320/73243 loss 3.1860 (125.7m)
  [stablegla_s2102_w128] probes@7560: kv=0.992 needle=0.000
[stablegla_s2102_w128] step 8052/73243 loss 3.1574 (138.5m)
[stablegla_s2102_w128] step 8784/73243 loss 3.1265 (150.5m)
[stablegla_s2102_w128] step 9516/73243 loss 3.1138 (163.0m)
[stablegla_s2102_w128] step 10248/73243 loss 3.1032 (175.4m)
[stablegla_s2102_w128] step 10980/73243 loss 3.0710 (187.4m)
[stablegla_s2102_w128] step 11712/73243 loss 3.0401 (199.8m)
[stablegla_s2102_w128] step 12444/73243 loss 3.0616 (212.3m)
[stablegla_s2102_w128] step 13176/73243 loss 3.0430 (224.7m)
[stablegla_s2102_w128] step 13908/73243 loss 3.0272 (236.7m)
[stablegla_s2102_w128] step 14640/73243 loss 2.9992 (249.1m)
[stablegla_s2102_w128] step 15372/73243 loss 3.0032 (261.5m)
[stablegla_s2102_w128] step 16104/73243 loss 3.0016 (274.0m)
  [stablegla_s2102_w128] probes@16116: kv=1.000 needle=0.219
[stablegla_s2102_w128] step 16836/73243 loss 2.9869 (286.3m)
[stablegla_s2102_w128] step 17568/73243 loss 2.9365 (298.7m)
[stablegla_s2102_w128] step 18300/73243 loss 2.9523 (311.1m)
[stablegla_s2102_w128] step 19032/73243 loss 2.9404 (323.5m)
[stablegla_s2102_w128] step 19764/73243 loss 2.9366 (335.5m)
[stablegla_s2102_w128] step 20496/73243 loss 2.9464 (347.9m)
[stablegla_s2102_w128] step 21228/73243 loss 2.9310 (360.3m)
[stablegla_s2102_w128] step 21960/73243 loss 2.9337 (372.3m)
[stablegla_s2102_w128] step 22692/73243 loss 2.8864 (384.7m)
[stablegla_s2102_w128] step 23424/73243 loss 2.8965 (397.1m)
[stablegla_s2102_w128] step 24156/73243 loss 2.8890 (409.5m)
[stablegla_s2102_w128] step 24888/73243 loss 2.8781 (421.5m)
[stablegla_s2102_w128] step 25620/73243 loss 2.8677 (434.0m)
[stablegla_s2102_w128] step 26352/73243 loss 2.8569 (446.4m)
[stablegla_s2102_w128] step 27084/73243 loss 2.8742 (458.8m)
[stablegla_s2102_w128] step 27816/73243 loss 2.8529 (470.8m)
[stablegla_s2102_w128] step 28548/73243 loss 2.8473 (483.2m)
[stablegla_s2102_w128] step 29280/73243 loss 2.8608 (495.6m)
[stablegla_s2102_w128] step 30012/73243 loss 2.8648 (508.0m)
[stablegla_s2102_w128] step 30744/73243 loss 2.8421 (520.0m)
[stablegla_s2102_w128] step 31476/73243 loss 2.8618 (532.4m)
[stablegla_s2102_w128] step 32208/73243 loss 2.8416 (544.8m)
[stablegla_s2102_w128] step 32940/73243 loss 2.8164 (556.8m)
[stablegla_s2102_w128] step 33672/73243 loss 2.8361 (569.2m)
  [stablegla_s2102_w128] probes@34356: kv=0.992 needle=0.195
[stablegla_s2102_w128] step 34404/73243 loss 2.8104 (582.0m)
[stablegla_s2102_w128] step 35136/73243 loss 2.8214 (594.4m)
[stablegla_s2102_w128] step 35868/73243 loss 2.8245 (606.4m)
[stablegla_s2102_w128] step 36600/73243 loss 2.7929 (618.8m)
[stablegla_s2102_w128] step 37332/73243 loss 2.7960 (631.2m)
[stablegla_s2102_w128] step 38064/73243 loss 2.7870 (643.6m)
[stablegla_s2102_w128] step 38796/73243 loss 2.7820 (655.6m)
[stablegla_s2102_w128] step 39528/73243 loss 2.7712 (668.0m)
[stablegla_s2102_w128] step 40260/73243 loss 2.7701 (680.4m)
[stablegla_s2102_w128] step 40992/73243 loss 2.7564 (692.4m)
[stablegla_s2102_w128] step 41724/73243 loss 2.7666 (704.8m)
[stablegla_s2102_w128] step 42456/73243 loss 2.7498 (717.2m)
[stablegla_s2102_w128] step 43188/73243 loss 2.7461 (729.6m)
[stablegla_s2102_w128] step 43920/73243 loss 2.7266 (741.6m)
[stablegla_s2102_w128] step 44652/73243 loss 2.7339 (754.0m)
[stablegla_s2102_w128] step 45384/73243 loss 2.7196 (766.5m)
[stablegla_s2102_w128] step 46116/73243 loss 2.7227 (778.9m)
[stablegla_s2102_w128] step 46848/73243 loss 2.7584 (790.9m)
[stablegla_s2102_w128] step 47580/73243 loss 2.7144 (803.3m)
[stablegla_s2102_w128] step 48312/73243 loss 2.7107 (815.7m)
[stablegla_s2102_w128] step 49044/73243 loss 2.7125 (828.1m)
[stablegla_s2102_w128] step 49776/73243 loss 2.7198 (840.1m)
[stablegla_s2102_w128] step 50508/73243 loss 2.6972 (852.5m)
[stablegla_s2102_w128] step 51240/73243 loss 2.7035 (864.9m)
[stablegla_s2102_w128] step 51972/73243 loss 2.7223 (876.9m)
[stablegla_s2102_w128] step 52704/73243 loss 2.6999 (889.4m)
[stablegla_s2102_w128] step 53436/73243 loss 2.6904 (901.8m)
[stablegla_s2102_w128] step 54168/73243 loss 2.6962 (914.2m)
[stablegla_s2102_w128] step 54900/73243 loss 2.6761 (926.2m)
[stablegla_s2102_w128] step 55632/73243 loss 2.6811 (938.6m)
[stablegla_s2102_w128] step 56364/73243 loss 2.6711 (951.0m)
[stablegla_s2102_w128] step 57096/73243 loss 2.6892 (963.4m)
[stablegla_s2102_w128] step 57828/73243 loss 2.6457 (975.4m)
[stablegla_s2102_w128] step 58560/73243 loss 2.6469 (987.8m)
[stablegla_s2102_w128] step 59292/73243 loss 2.6419 (1000.2m)
[stablegla_s2102_w128] step 60024/73243 loss 2.6596 (1012.6m)
[stablegla_s2102_w128] step 60756/73243 loss 2.6509 (1024.6m)
[stablegla_s2102_w128] step 61488/73243 loss 2.6758 (1037.0m)
[stablegla_s2102_w128] step 62220/73243 loss 2.6641 (1049.4m)
[stablegla_s2102_w128] step 62952/73243 loss 2.6676 (1061.4m)
[stablegla_s2102_w128] step 63684/73243 loss 2.6674 (1073.8m)
[stablegla_s2102_w128] step 64416/73243 loss 2.6268 (1086.2m)
[stablegla_s2102_w128] step 65148/73243 loss 2.6752 (1098.6m)
[stablegla_s2102_w128] step 65880/73243 loss 2.6544 (1110.6m)
[stablegla_s2102_w128] step 66612/73243 loss 2.6408 (1123.1m)
[stablegla_s2102_w128] step 67344/73243 loss 2.6284 (1135.5m)
[stablegla_s2102_w128] step 68076/73243 loss 2.6221 (1147.9m)
[stablegla_s2102_w128] step 68808/73243 loss 2.6472 (1159.9m)
[stablegla_s2102_w128] step 69540/73243 loss 2.6380 (1172.3m)
[stablegla_s2102_w128] step 70272/73243 loss 2.6292 (1184.7m)
[stablegla_s2102_w128] step 71004/73243 loss 2.6348 (1197.1m)
[stablegla_s2102_w128] step 71736/73243 loss 2.6325 (1209.1m)
[stablegla_s2102_w128] step 72468/73243 loss 2.6423 (1221.5m)
[stablegla_s2102_w128] step 73200/73243 loss 2.6249 (1233.9m)
  [stablegla_s2102_w128] probes@73242: kv=1.000 needle=0.211
[stablegla_s2102_w128] DONE in 20.59h
runner gpu0 ALL DONE
